GESTION;2014;;;;;;;;;;;
Type budget;All;;;;;;;;;;;
;;;;;;;;;;;;
CP;;;;;TITRE;;;;;;;
Mission;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
Accords monétaires internationaux;811;Relations avec l'Union monétaire ouest-africaine;01;Relations avec l'Union monétaire ouest-africaine;;;;0;;;;0
Accords monétaires internationaux;812;Relations avec l'Union monétaire d'Afrique centrale;01;Relations avec l'Union monétaire d'Afrique centrale;;;;0;;;;0
Accords monétaires internationaux;813;Relations avec l'Union des Comores;01;Relations avec l'Union des Comores;;;;0;;;;0
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;59 077 746;21 805 165;;0;4 381 163;;85 264 074
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;5 793 753;55 877;;;39 408 212;;45 257 842
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;0;;;717 175 609;;717 175 609
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;64 460 562;5 561 058;;;18 076 272;;88 097 892
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;109 727 089;113 344 303;;7 816 289;51 055;;230 938 736
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;356 365 974;192 775 137;;19 229 592;81 038;52 973;568 504 714
Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;166 985 308;15 371 739;;0;16 975 382;;199 332 429
Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;;;3 280;;;106 540 613;;106 543 893
Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;48 280 321;332 009;;933 724;543;;49 546 597
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Animation du réseau;;0;42 964 015;;148 080;2 497 336;;45 609 431
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;;;35 219 234;;;38 239 623;;73 458 857
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;03;Enjeux globaux;;;469 601;;;6 321 164;;6 790 765
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;04;Attractivité et recherche;;;10 777 054;;;67 530 824;;78 307 878
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;;;409 513 881;;;654 600;;410 168 481
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;77 359 271;;;;170;;77 359 441
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux;;341 701 969;26 588 397;;186 606;154 262;;368 631 234
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;03;Système d'information et de communication;;0;39 568 571;;7 273 951;;;46 842 522
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;04;Action sociale et formation;;16 514;35 118 878;;867 481;41 740;0;36 044 613
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;05;Affaires immobilières;;0;111 825 500;;2 786 515;;;114 612 015
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;06;Affaires juridiques et contentieuses;;1 202;85 634 753;;;151 640;90;85 787 685
Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;08;Immigration, asile et intégration;;36 518 091;;;;;;36 518 091
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;01;Financement des partis;;;0;;;63 095 220;;63 095 220
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;02;Organisation des élections;;12 851 405;176 650 620;;17 643;18 501 219;;208 020 887
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;03;Commission nationale des comptes de campagne et des financements politiques;;3 281 490;2 028 965;;;;;5 310 455
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;04;Cultes;;;210 649;;401 455;1 403 543;;2 015 647
Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;05;Vie associative;;;171;;4 385;81 704;;86 260
Administration générale et territoriale de l'État;307;Administration territoriale;01;Coordination de la sécurité des personnes et des biens;;185 423 425;0;;;;;185 423 425
Administration générale et territoriale de l'État;307;Administration territoriale;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;;646 872 993;23 455 883;;89 417;20 277 693;;690 695 986
Administration générale et territoriale de l'État;307;Administration territoriale;03;Contrôle de légalité et conseil aux collectivités territoriales;;156 926 012;8 672;;;;;156 934 684
Administration générale et territoriale de l'État;307;Administration territoriale;04;Pilotage territorial des politiques gouvernementales;;449 070 580;20 626 578;;4 512 700;176 472;;474 386 330
Administration générale et territoriale de l'État;307;Administration territoriale;05;Animation et soutien du réseau;;82 176 662;127 416 678;25;27 809 146;1 635 930;75;239 038 516
Agriculture, alimentation, forêt et affaires rurales;149;Forêt;11;Gestion des forêts publiques et protection de la forêt;;;214 484 173;;1 830 636;11 355 518;;227 670 327
Agriculture, alimentation, forêt et affaires rurales;149;Forêt;12;Développement économique de la filière et gestion durable;;;15 476 561;;87 312;42 319 498;;57 883 371
Agriculture, alimentation, forêt et affaires rurales;149;Forêt;13;Fonds stratégique de la forêt et du bois;;;41 601;;;12 291 120;;12 332 721
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;11;Adaptation des filières à l'évolution des marchés;;;4 651 895;;;422 702 911;;427 354 806
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;12;Gestion des crises et des aléas de la production;;;44 976;;;3 126 125;19 240 000;22 411 101
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;13;Appui au renouvellement et à la modernisation des exploitations agricoles;;;0;;;199 352 470;;199 352 470
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;14;Gestion équilibrée et durable des territoires;;;846 360;;16 797;745 916 022;;746 779 179
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;15;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;677 390 530;;;10 000;;677 400 530
Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;;;3 429 633;;82 705;16 743 611;;20 255 949
