GESTION;2016;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;
;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;
Ministère;Libellé ministère;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;63 099 621;18 834 127;;;3 296 430;;85 230 178
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;02;Action européenne;;6 284 540;46 917;;;40 096 166;;46 427 623
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;;;;992 628 530;;992 628 530
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;62 364 532;4 541 007;;100 612;13 541 597;;80 547 748
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;06;Soutien;;114 806 730;114 738 030;;8 522 726;72 222;;238 139 708
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;370 455 162;208 121 432;;32 111 822;131 950;61 929;610 882 295
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;177 431 030;12 774 892;;;15 716 326;;205 922 248
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;;;;;;87 260 000;;87 260 000
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;52 600 508;164 396;;;;;52 764 904
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;01;Animation du réseau;;;41 793 064;;;410 858;;42 203 922
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;;;31 358 998;;;37 829 328;;69 188 326
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;03;Enjeux globaux;;;629 221;;;7 461 534;;8 090 755
