GESTION;2016;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;;
Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;64 423 425;18 766 779;;;2 913 324;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;2;Action européenne;;6 465 753;8 109;;;41 022 683;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;4;Contributions internationales;;;;;;674 502 628;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;60 413 616;4 943 262;;12 800;20 469 159;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;6;Soutien;;118 135 762;120 850 087;;6 563 329;133 101;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;392 433 449;210 823 935;;45 399 885;427 456;238 665
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;181 314 075;21 672 896;;;15 570 206;
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;2;Accès des élèves français au réseau AEFE;;;;;;99 200 000;
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa;;53 663 628;194 540;;;;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;1;Appui au réseau;;;42 722 575;;;2 836 903;374
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français;;;29 573 073;;;41 218 120;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;3;Objectifs de développement durable;;;9 859;;;2 766 477;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;4;Enseignement supérieur et recherche;;;8 741 036;;;82 108 365;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;5;Agence pour l'enseignement français à l'étranger;;;354 476 372;;;1 325 376;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;6;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;74 271 381;;;;;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;7;Diplomatie économique et développement du tourisme;;;31 128 982;;;5 134 878;100 000
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;2;Coopération bilatérale;;1 823;26 521 691;;;453 653 751;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;5;Coopération multilatérale;;771;6 258 690;;;150 749 041;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;7;Coopération communautaire;;;;;;742 450 744;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;8;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;177 139 096;776;;;484 345;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;9;Actions de co-développement;;123 811;1 470;;;2 786 287;
2017;Budget général;MIN02;Culture et communication;131;Création;1;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;280 877 247;;2 913 827;393 465 274;24 603 420
2017;Budget général;MIN02;Culture et communication;131;Création;2;Soutien à la création, à la production et à la diffusion des arts plastiques;;;16 903 796;;14 361 074;46 777 949;4 303 608
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;1;Patrimoine monumental;;;42 083 530;;72 223 485;125 404 914;61 923 561
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;2;Architecture;;;20 299 834;;109 292;8 302 175;630 488
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;3;Patrimoine des musées de France;;;282 547 215;;10 516 577;23 634 507;31 993 646
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;4;Patrimoine archivistique et célébrations nationales;;;14 380 002;;6 761 060;9 314 449;
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;7;Patrimoine linguistique;;;10 721;;;3 310 514;
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;8;Acquisition et enrichissement des collections publiques;;;47 976;;2 250 486;3 108 410;3 673 270
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;9;Patrimoine archéologique;;;83 231 633;;1 024 300;52 993 501;17 925 550
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;1;Relations financières avec l'AFP;;;21 655 380;;;117 820 859;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;2;Aides à la presse;;;223 728;;;101 004 653;3 528
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;5;Soutien aux médias de proximité;;;;;;1 583 700;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;6;Soutien à l'expression radiophonique locale;;;7 402;;;30 588 548;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;7;Compagnie internationale de radio et télévision (CIRT);;;;;;1 666 500;
2017;Budget général;MIN02;Culture et communication;186;Recherche culturelle et culture scientifique;1;Recherche culturelle;;;5 612 031;;997 454;4 527 383;
2017;Budget général;MIN02;Culture et communication;186;Recherche culturelle et culture scientifique;3;Culture scientifique et technique;;;94 750 666;;;;7 493 575
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;1;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;143 669 397;;9 495 011;80 192 252;18 292 976
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;2;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;2 222 798;;126 137;107 714 197;740 000
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;6;Action culturelle internationale;;;527 195;;;5 368 446;
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;7;Fonctions de soutien du ministère;;696 773 637;84 580 622;;26 095 079;292 667;940 000
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;8;Fonds pour l'emploi pérenne dans le spectacle;;;;;;10 170 000;
2017;Budget général;MIN02;Culture et communication;334;Livre et industries culturelles;1;Livre et lecture;;;196 908 177;;6 000 000;23 222 164;27 007 680
2017;Budget général;MIN02;Culture et communication;334;Livre et industries culturelles;2;Industries culturelles;;;6 545 910;;;14 445 872;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;1;Enseignement supérieur;;208 408 444;34 695 350;;;39 164 409;13 876 884
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;2;Recherche, développement et transfert de technologie;;1 611 749;27 877 408;;;4 047 806;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;1;Mise en oeuvre de l'enseignement dans les établissements publics;;696 383 390;1 920 755;;;36 682 402;310 000
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;2;Mise en oeuvre des enseignements dans les établissements privés;;208 103 172;210 823;;;365 376 074;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;3;Aide sociale aux élèves (enseignement public et privé);;;341 285;;;78 514 649;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;4;Évolution des compétences et dynamique territoriale;;;1 284 757;;;2 168 232;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;5;Moyens communs à l'enseignement technique agricole, public et privé;;;5 034 770;;;64 957;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;21;Adaptation des filières à l'évolution des marchés;;;4 126 701;;;237 053 207;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;22;Gestion des crises et des aléas de la production agricole;;;9 280 623;;;136 086 865;
