Type de Mission;Mission;COD_PGM;Programme;Numéro Objectif;Objectif;Numéro indicateur;Indicateur;type indicateur;Stratégique au niveau mission?;Sous-indicateur;Unité;Réalisation 2013;Réalisation 2014;Prévision 2015 PAP 2015;Prévision 2015 PAP 2016;Réalisation 2015;Année cible;Valeur cible;Code Ministère LFI 2015;Ministère LFI 2015
Budget général;Action extérieure de l'État;;;MAA.2 (P105.1);Construire l'Europe;P105.1.1;Présence des Français et usage du français dans l'Union européenne;Citoyen;Stratégique mission;1. Encadrement UE;%;11;11;11;11;9.9;2017;11;;
Budget général;Action extérieure de l'État;;;MAA.2 (P105.1);Construire l'Europe;P105.1.1;Présence des Français et usage du français dans l'Union européenne;Citoyen;Stratégique mission;2. Usage du français à l'Union européenne;%;10;10;10;10;5;2017;10;;
Budget général;Action extérieure de l'État;;;MAA.3 (P151.1);Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;Stratégique mission;1. Passeports (réseau);Jour;11,8;11,5;11-12;11;11,5;2017;10;;
Budget général;Action extérieure de l'État;;;MAA.3 (P151.1);Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;Stratégique mission;2. Cartes nationales d'identité (réseau);Jour;45;42;42-47;42;42;2017;42-47;;
Budget général;Action extérieure de l'État;;;MAA.3 (P151.1);Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;Stratégique mission;3. État Civil - transcription des actes (réseau);Jour;21;27;20-21;25;24,5;2017;20-21;;
Budget général;Action extérieure de l'État;;;MAA.3 (P151.1);Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;Stratégique mission;4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées;Jour;2;3,5;2;2;4;2017;02-janv;;
Budget général;Action extérieure de l'État;;;MAA.3 (P151.1);Assurer un service consulaire de qualité;P151.1.1;Délais de traitement des documents administratifs et des demandes de titres;Usager;Stratégique mission;5. Visas court séjour;Jour;3,5;3;2-3;2,5;3,8;2017;03-févr;;
Budget général;Action extérieure de l'État;;;MAA.1 (P185.2);Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;Stratégique mission;1. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire;%;48;48,1;51;51;48,1;2017;52;;
Budget général;Action extérieure de l'État;;;MAA.1 (P185.2);Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;Stratégique mission;2. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français;Nombre;128 972;128 573;133 000;132 500;N.D;2017;135 000;;
Budget général;Action extérieure de l'État;;;MAA.1 (P185.2);Renforcer le développement international;P185.2.2;Promotion de l'attractivité de la France;Citoyen;Stratégique mission;3. Nombre de touristes étrangers en France;Nombre;83,7;83,8;86,7;86;N.D;2017;90,2;;
