"Mission";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"Accords monétaires internationaux";"811";"Relations avec l'Union monétaire ouest-africaine";"1";"Relations avec l'Union monétaire ouest-africaine";"";"";"";"0";"";"";"";"0"
"Accords monétaires internationaux";"812";"Relations avec l'Union monétaire d'Afrique centrale";"1";"Relations avec l'Union monétaire d'Afrique centrale";"";"";"";"0";"";"";"";"0"
"Accords monétaires internationaux";"813";"Relations avec l'Union des Comores";"1";"Relations avec l'Union des Comores";"";"";"";"0";"";"";"";"0"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"1";"Coordination de l'action diplomatique";"";"59077746";"21805165";"";"0";"4381163";"";"85264074"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"2";"Action européenne";"";"5793753";"55877";"";"";"39408212";"";"45257842"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"4";"Contributions internationales";"";"";"0";"";"";"717175609";"";"717175609"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"5";"Coopération de sécurité et de défense";"";"64460562";"5561058";"";"";"18076272";"";"88097892"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"6";"Soutien";"";"109727089";"113344303";"";"7816289";"51055";"";"230938736"
"Action extérieure de l'État";"105";"Action de la France en Europe et dans le monde";"7";"Réseau diplomatique";"";"356365974";"192775137";"";"19229592";"81038";"52973";"568504714"
"Action extérieure de l'État";"151";"Français à l'étranger et affaires consulaires";"1";"Offre d'un service public de qualité aux Français à l'étranger";"";"166985308";"15371739";"";"0";"16975382";"";"199332429"
"Action extérieure de l'État";"151";"Français à l'étranger et affaires consulaires";"2";"Accès des élèves français au réseau AEFE";"";"";"3280";"";"";"106540613";"";"106543893"
"Action extérieure de l'État";"151";"Français à l'étranger et affaires consulaires";"3";"Instruction des demandes de visa";"";"48280321";"332009";"";"933724";"543";"";"49546597"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"1";"Animation du réseau";"";"0";"42964015";"";"148080";"2497336";"";"45609431"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"2";"Coopération culturelle et promotion du français";"";"";"35219234";"";"";"38239623";"";"73458857"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"3";"Enjeux globaux";"";"";"469601";"";"";"6321164";"";"6790765"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"4";"Attractivité et recherche";"";"";"10777054";"";"";"67530824";"";"78307878"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"5";"Agence pour l'enseignement français à l'étranger";"";"";"409513881";"";"";"654600";"";"410168481"
"Action extérieure de l'État";"185";"Diplomatie culturelle et d'influence";"6";"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";"";"77359271";"";"";"";"170";"";"77359441"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"1";"État-major et services centraux";"";"341701969";"26588397";"";"186606";"154262";"";"368631234"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"3";"Système d'information et de communication";"";"0";"39568571";"";"7273951";"";"";"46842522"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"4";"Action sociale et formation";"";"16514";"35118878";"";"867481";"41740";"0";"36044613"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"5";"Affaires immobilières";"";"0";"111825500";"";"2786515";"";"";"114612015"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"6";"Affaires juridiques et contentieuses";"";"1202";"85634753";"";"";"151640";"90";"85787685"
"Administration générale et territoriale de l'État";"216";"Conduite et pilotage des politiques de l'intérieur";"8";"Immigration, asile et intégration";"";"36518091";"";"";"";"";"";"36518091"
"Administration générale et territoriale de l'État";"232";"Vie politique, cultuelle et associative";"1";"Financement des partis";"";"";"0";"";"";"63095220";"";"63095220"
"Administration générale et territoriale de l'État";"232";"Vie politique, cultuelle et associative";"2";"Organisation des élections";"";"12851405";"176650620";"";"17643";"18501219";"";"208020887"
"Administration générale et territoriale de l'État";"232";"Vie politique, cultuelle et associative";"3";"Commission nationale des comptes de campagne et des financements politiques";"";"3281490";"2028965";"";"";"";"";"5310455"
"Administration générale et territoriale de l'État";"232";"Vie politique, cultuelle et associative";"4";"Cultes";"";"";"210649";"";"401455";"1403543";"";"2015647"
"Administration générale et territoriale de l'État";"232";"Vie politique, cultuelle et associative";"5";"Vie associative";"";"";"171";"";"4385";"81704";"";"86260"
"Administration générale et territoriale de l'État";"307";"Administration territoriale";"1";"Coordination de la sécurité des personnes et des biens";"";"185423425";"0";"";"";"";"";"185423425"
"Administration générale et territoriale de l'État";"307";"Administration territoriale";"2";"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres";"";"646872993";"23455883";"";"89417";"20277693";"";"690695986"
"Administration générale et territoriale de l'État";"307";"Administration territoriale";"3";"Contrôle de légalité et conseil aux collectivités territoriales";"";"156926012";"8672";"";"";"";"";"156934684"
"Administration générale et territoriale de l'État";"307";"Administration territoriale";"4";"Pilotage territorial des politiques gouvernementales";"";"449070580";"20626578";"";"4512700";"176472";"";"474386330"
"Administration générale et territoriale de l'État";"307";"Administration territoriale";"5";"Animation et soutien du réseau";"";"82176662";"127416678";"25";"27809146";"1635930";"75";"239038516"
"Agriculture, alimentation, forêt et affaires rurales";"149";"Forêt";"11";"Gestion des forêts publiques et protection de la forêt";"";"";"214484173";"";"1830636";"11355518";"";"227670327"
"Agriculture, alimentation, forêt et affaires rurales";"149";"Forêt";"12";"Développement économique de la filière et gestion durable";"";"";"15476561";"";"87312";"42319498";"";"57883371"
"Agriculture, alimentation, forêt et affaires rurales";"149";"Forêt";"13";"Fonds stratégique de la forêt et du bois";"";"";"41601";"";"";"12291120";"";"12332721"
"Agriculture, alimentation, forêt et affaires rurales";"154";"Économie et développement durable de l'agriculture et des territoires";"11";"Adaptation des filières à l'évolution des marchés";"";"";"4651895";"";"";"422702911";"";"427354806"
"Agriculture, alimentation, forêt et affaires rurales";"154";"Économie et développement durable de l'agriculture et des territoires";"12";"Gestion des crises et des aléas de la production";"";"";"44976";"";"";"3126125";"19240000";"22411101"
"Agriculture, alimentation, forêt et affaires rurales";"154";"Économie et développement durable de l'agriculture et des territoires";"13";"Appui au renouvellement et à la modernisation des exploitations agricoles";"";"";"0";"";"";"199352470";"";"199352470"
"Agriculture, alimentation, forêt et affaires rurales";"154";"Économie et développement durable de l'agriculture et des territoires";"14";"Gestion équilibrée et durable des territoires";"";"";"846360";"";"16797";"745916022";"";"746779179"
"Agriculture, alimentation, forêt et affaires rurales";"154";"Économie et développement durable de l'agriculture et des territoires";"15";"Moyens de mise en oeuvre des politiques publiques et gestion des interventions";"";"";"677390530";"";"";"10000";"";"677400530"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"1";"Prévention et gestion des risques inhérents à la production végétale";"";"";"3429633";"";"82705";"16743611";"";"20255949"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"2";"Lutte contre les maladies animales et protection des animaux";"";"0";"73191957";"";"169509";"27131756";"";"100493222"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"3";"Prévention et gestion des risques sanitaires liés aux denrées alimentaires";"";"";"9822245";"";"81553";"5342693";"";"15246491"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"4";"Acquisition et mobilisation des moyens scientifiques et techniques pour maîtriser les risques sanitaires";"";"";"71906345";"";"";"5011480";"0";"76917825"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"5";"Elimination des farines et des coproduits animaux";"";"";"";"";"";"3200000";"";"3200000"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"6";"Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation";"";"291101282";"927547";"";"";"7969";"";"292036798"
"Agriculture, alimentation, forêt et affaires rurales";"206";"Sécurité et qualité sanitaires de l'alimentation";"8";"Qualité de l'alimentation et offre alimentaire";"";"";"823678";"";"";"3058872";"";"3882550"
"Agriculture, alimentation, forêt et affaires rurales";"215";"Conduite et pilotage des politiques de l'agriculture";"1";"Moyens de l'administration centrale";"";"168597397";"36383227";"";"81042";"1292495";"";"206354161"
"Agriculture, alimentation, forêt et affaires rurales";"215";"Conduite et pilotage des politiques de l'agriculture";"2";"Évaluation de l'impact des politiques publiques et information économique";"";"13687660";"4067470";"";"0";"1088027";"";"18843157"
"Agriculture, alimentation, forêt et affaires rurales";"215";"Conduite et pilotage des politiques de l'agriculture";"3";"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer)";"";"412480084";"21765070";"";"899425";"73150";"";"435217729"
"Agriculture, alimentation, forêt et affaires rurales";"215";"Conduite et pilotage des politiques de l'agriculture";"4";"Moyens communs";"";"46581139";"18978342";"";"6589419";"516233";"";"72665133"
"Aide publique au développement";"110";"Aide économique et financière au développement";"1";"Aide économique et financière multilatérale";"";"";"";"";"";"100018234";"538017755";"638035989"
"Aide publique au développement";"110";"Aide économique et financière au développement";"2";"Aide économique et financière bilatérale";"";"";"3937008";"";"";"289406807";"";"293343815"
"Aide publique au développement";"110";"Aide économique et financière au développement";"3";"Traitement de la dette des pays pauvres";"";"";"";"";"";"52590379";"49560612";"102150991"
"Aide publique au développement";"209";"Solidarité à l'égard des pays en développement";"2";"Coopération bilatérale";"";"142997";"38497526";"";"0";"517544658";"";"556185181"
"Aide publique au développement";"209";"Solidarité à l'égard des pays en développement";"5";"Coopération multilatérale";"";"";"0";"";"";"317506158";"";"317506158"
"Aide publique au développement";"209";"Solidarité à l'égard des pays en développement";"7";"Coopération communautaire";"";"";"97234";"";"";"640395333";"";"640492567"
"Aide publique au développement";"209";"Solidarité à l'égard des pays en développement";"8";"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";"";"197630615";"";"";"";"0";"";"197630615"
"Aide publique au développement";"209";"Solidarité à l'égard des pays en développement";"9";"Actions de co-développement";"";"111950";"0";"";"";"7364355";"";"7476305"
