"Ministère";"Libellé.ministère";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"1";"Coordination de l'action diplomatique";"";"63099621";"18834127";"";"";"3296430";"";"85230178"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"2";"Action européenne";"";"6284540";"46917";"";"";"40096166";"";"46427623"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"4";"Contributions internationales";"";"";"";"";"";"992628530";"";"992628530"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"5";"Coopération de sécurité et de défense";"";"62364532";"4541007";"";"100612";"13541597";"";"80547748"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"6";"Soutien";"";"114806730";"114738030";"";"8522726";"72222";"";"238139708"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"7";"Réseau diplomatique";"";"370455162";"208121432";"";"32111822";"131950";"61929";"610882295"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"1";"Offre d'un service public de qualité aux Français à l'étranger";"";"177431030";"12774892";"";"";"15716326";"";"205922248"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"2";"Accès des élèves français au réseau AEFE";"";"";"";"";"";"87260000";"";"87260000"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"3";"Instruction des demandes de visa";"";"52600508";"164396";"";"";"";"";"52764904"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"1";"Animation du réseau";"";"";"41793064";"";"";"410858";"";"42203922"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"2";"Coopération culturelle et promotion du français";"";"";"31358998";"";"";"37829328";"";"69188326"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"3";"Enjeux globaux";"";"";"629221";"";"";"7461534";"";"8090755"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"4";"Attractivité et recherche";"";"256";"9376032";"";"";"83136391";"445";"92513124"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"5";"Agence pour l'enseignement français à l'étranger";"";"";"387334467";"";"";"607900";"";"387942367"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"6";"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";"";"75296814";"";"";"";"";"";"75296814"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"7";"Développement international – Tourisme";"";"";"31528996";"";"";"8519347";"";"40048343"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"2";"Coopération bilatérale";"";"26896";"8679494";"";"";"483246630";"";"491953020"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"5";"Coopération multilatérale";"";"";"1776441";"";"";"158922611";"";"160699052"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"7";"Coopération communautaire";"";"";"";"";"";"703800000";"";"703800000"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"8";"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";"";"196390041";"";"";"";"";"";"196390041"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"9";"Actions de co-développement";"";"38659";"48051";"";"";"2044895";"";"2131605"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"1";"Préparation et suivi de la COP21";"";"";"4614076";"";"";"447651";"";"5061727"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"2";"Organisation de la COP21";"";"";"139059549";"";"";"";"";"139059549"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"3";"Accueil des délégations étrangères";"";"";"11596";"";"";"-489154";"";"-477558"
"2";"Culture et communication";"131";"Création";"1";"Soutien à la création, à la production et à la diffusion du spectacle vivant";"";"";"273962953";"";"3064480";"381628440";"21958953";"680614826"
"2";"Culture et communication";"131";"Création";"2";"Soutien à la création, à la production et à la diffusion des arts plastiques";"";"";"16326437";"";"1425349";"44886421";"5301400";"67939607"
"2";"Culture et communication";"175";"Patrimoines";"1";"Patrimoine monumental";"";"";"44053273";"";"67605275";"123140171";"66534777";"301333496"
"2";"Culture et communication";"175";"Patrimoines";"2";"Architecture";"";"";"19039987";"";"270903";"8365672";"1105488";"28782050"
"2";"Culture et communication";"175";"Patrimoines";"3";"Patrimoine des musées de France";"";"";"289327716";"";"8201161";"21456942";"23401117";"342386936"
"2";"Culture et communication";"175";"Patrimoines";"4";"Patrimoine archivistique et célébrations nationales";"";"";"13791355";"";"389664";"5832937";"";"20013956"
"2";"Culture et communication";"175";"Patrimoines";"7";"Patrimoine linguistique";"";"";"";"";"";"3074793";"";"3074793"
"2";"Culture et communication";"175";"Patrimoines";"8";"Acquisition et enrichissement des collections publiques";"";"";"47990";"";"3172367";"2516163";"3045607";"8782127"
"2";"Culture et communication";"175";"Patrimoines";"9";"Patrimoine archéologique";"";"";"90688644";"";"5339483";"56906857";"1472000";"154406984"
"2";"Culture et communication";"180";"Presse";"1";"Relations financières avec l'AFP";"";"";"21655380";"";"";"107420859";"";"129076239"
"2";"Culture et communication";"180";"Presse";"2";"Aides à la presse";"";"";"150198";"";"";"101378160";"428204";"101956562"
"2";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"1";"Recherche culturelle";"";"";"4520620";"";"1581520";"3540431";"";"9642571"
"2";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"3";"Culture scientifique et technique";"";"";"94183741";"";"";"";"14143802";"108327543"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"1";"Soutien aux établissements d'enseignement supérieur et insertion professionnelle";"";"";"140467847";"";"11454072";"91868238";"21769043";"265559200"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"2";"Soutien à la démocratisation et à l'éducation artistique et culturelle";"";"";"6418149";"";"-567702";"95721828";"4129671";"105701946"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"6";"Action culturelle internationale";"";"";"810486";"";"";"5092084";"";"5902570"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"7";"Fonctions de soutien du ministère";"";"668738265";"85651390";"";"1686476";"43000";"";"756119131"
"2";"Culture et communication";"313";"Contribution à l'audiovisuel et à la diversité radiophonique";"10";"Soutien à l'expression radiophonique locale";"";"";"8489";"";"";"29110735";"";"29119224"
"2";"Culture et communication";"334";"Livre et industries culturelles";"1";"Livre et lecture";"";"";"184087227";"";"9900000";"30669644";"23258266";"247915137"
"2";"Culture et communication";"334";"Livre et industries culturelles";"2";"Industries culturelles";"";"";"1049412";"";"";"13325438";"";"14374850"
"2";"Culture et communication";"334";"Livre et industries culturelles";"3";"Soutien aux médias de proximité";"";"";"";"";"";"1547098";"";"1547098"
"2";"Culture et communication";"334";"Livre et industries culturelles";"4";"Compagnie internationale de radio et télévision (CIRT)";"";"";"";"";"";"1650000";"";"1650000"
"3";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"1";"Enseignement supérieur";"";"203341818";"34294235";"";"";"38428299";"14436810";"290501162"
"3";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"2";"Recherche, développement et transfert de technologie";"";"1677049";"27753636";"";"";"4030894";"";"33461579"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"1";"Mise en oeuvre de l'enseignement dans les établissements publics";"";"674859235";"1844753";"";"";"35796117";"1583461";"714083566"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"2";"Mise en oeuvre des enseignements dans les établissements privés";"";"205044497";"726903";"";"";"362764178";"";"568535578"
