"Année.RAP";"Type.de.Budget..Hors.Budgets.annexes.";"Code.Ministère.au.1er.janvier.2017";"Ministère.au.1er.janvier.2017";"Programme";"Libellé.programme";"Code.Action";"Action";"T1.EXEC.CP.2017";"T2.EXEC.CP.2017";"T3.EXEC.CP.2017";"T4.EXEC.CP.2017";"T5.EXEC.CP.2017";"T6.EXEC.CP.2017";"T7.EXEC.CP.2017"
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"1";"Coordination de l'action diplomatique";"";"64423425";"18766779";"";"";"2913324";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"2";"Action européenne";"";"6465753";"8109";"";"";"41022683";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"4";"Contributions internationales";"";"";"";"";"";"674502628";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"5";"Coopération de sécurité et de défense";"";"60413616";"4943262";"";"12800";"20469159";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"6";"Soutien";"";"118135762";"120850087";"";"6563329";"133101";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"7";"Réseau diplomatique";"";"392433449";"210823935";"";"45399885";"427456";"238665"
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"1";"Offre d'un service public de qualité aux Français à l'étranger";"";"181314075";"21672896";"";"";"15570206";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"2";"Accès des élèves français au réseau AEFE";"";"";"";"";"";"99200000";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"3";"Instruction des demandes de visa";"";"53663628";"194540";"";"";"";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"1";"Appui au réseau";"";"";"42722575";"";"";"2836903";"374"
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"2";"Coopération culturelle et promotion du français";"";"";"29573073";"";"";"41218120";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"3";"Objectifs de développement durable";"";"";"9859";"";"";"2766477";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"4";"Enseignement supérieur et recherche";"";"";"8741036";"";"";"82108365";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"5";"Agence pour l'enseignement français à l'étranger";"";"";"354476372";"";"";"1325376";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"6";"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";"";"74271381";"";"";"";"";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"7";"Diplomatie économique et développement du tourisme";"";"";"31128982";"";"";"5134878";"100000"
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"2";"Coopération bilatérale";"";"1823";"26521691";"";"";"453653751";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"5";"Coopération multilatérale";"";"771";"6258690";"";"";"150749041";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"7";"Coopération communautaire";"";"";"";"";"";"742450744";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"8";"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";"";"177139096";"776";"";"";"484345";""
"2017";"Budget général";"MIN01";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"9";"Actions de co-développement";"";"123811";"1470";"";"";"2786287";""
"2017";"Budget général";"MIN02";"Culture et communication";"131";"Création";"1";"Soutien à la création, à la production et à la diffusion du spectacle vivant";"";"";"280877247";"";"2913827";"393465274";"24603420"
"2017";"Budget général";"MIN02";"Culture et communication";"131";"Création";"2";"Soutien à la création, à la production et à la diffusion des arts plastiques";"";"";"16903796";"";"14361074";"46777949";"4303608"
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"1";"Patrimoine monumental";"";"";"42083530";"";"72223485";"125404914";"61923561"
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"2";"Architecture";"";"";"20299834";"";"109292";"8302175";"630488"
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"3";"Patrimoine des musées de France";"";"";"282547215";"";"10516577";"23634507";"31993646"
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"4";"Patrimoine archivistique et célébrations nationales";"";"";"14380002";"";"6761060";"9314449";""
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"7";"Patrimoine linguistique";"";"";"10721";"";"";"3310514";""
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"8";"Acquisition et enrichissement des collections publiques";"";"";"47976";"";"2250486";"3108410";"3673270"
"2017";"Budget général";"MIN02";"Culture et communication";"175";"Patrimoines";"9";"Patrimoine archéologique";"";"";"83231633";"";"1024300";"52993501";"17925550"
"2017";"Budget général";"MIN02";"Culture et communication";"180";"Presse et médias";"1";"Relations financières avec l'AFP";"";"";"21655380";"";"";"117820859";""
"2017";"Budget général";"MIN02";"Culture et communication";"180";"Presse et médias";"2";"Aides à la presse";"";"";"223728";"";"";"101004653";"3528"
"2017";"Budget général";"MIN02";"Culture et communication";"180";"Presse et médias";"5";"Soutien aux médias de proximité";"";"";"";"";"";"1583700";""
"2017";"Budget général";"MIN02";"Culture et communication";"180";"Presse et médias";"6";"Soutien à l'expression radiophonique locale";"";"";"7402";"";"";"30588548";""
"2017";"Budget général";"MIN02";"Culture et communication";"180";"Presse et médias";"7";"Compagnie internationale de radio et télévision (CIRT)";"";"";"";"";"";"1666500";""
"2017";"Budget général";"MIN02";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"1";"Recherche culturelle";"";"";"5612031";"";"997454";"4527383";""
"2017";"Budget général";"MIN02";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"3";"Culture scientifique et technique";"";"";"94750666";"";"";"";"7493575"
"2017";"Budget général";"MIN02";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"1";"Soutien aux établissements d'enseignement supérieur et insertion professionnelle";"";"";"143669397";"";"9495011";"80192252";"18292976"
"2017";"Budget général";"MIN02";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"2";"Soutien à la démocratisation et à l'éducation artistique et culturelle";"";"";"2222798";"";"126137";"107714197";"740000"
"2017";"Budget général";"MIN02";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"6";"Action culturelle internationale";"";"";"527195";"";"";"5368446";""
"2017";"Budget général";"MIN02";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"7";"Fonctions de soutien du ministère";"";"696773637";"84580622";"";"26095079";"292667";"940000"
"2017";"Budget général";"MIN02";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"8";"Fonds pour l'emploi pérenne dans le spectacle";"";"";"";"";"";"10170000";""
"2017";"Budget général";"MIN02";"Culture et communication";"334";"Livre et industries culturelles";"1";"Livre et lecture";"";"";"196908177";"";"6000000";"23222164";"27007680"
"2017";"Budget général";"MIN02";"Culture et communication";"334";"Livre et industries culturelles";"2";"Industries culturelles";"";"";"6545910";"";"";"14445872";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"1";"Enseignement supérieur";"";"208408444";"34695350";"";"";"39164409";"13876884"
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"2";"Recherche, développement et transfert de technologie";"";"1611749";"27877408";"";"";"4047806";""
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"1";"Mise en oeuvre de l'enseignement dans les établissements publics";"";"696383390";"1920755";"";"";"36682402";"310000"
"2017";"Budget général";"MIN03";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"2";"Mise en oeuvre des enseignements dans les établissements privés";"";"208103172";"210823";"";"";"365376074";""
