"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Indicateur.de.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2010";"Réalisation.2011";"Prévision.2012.PAP.2012";"Prévision.2012.PAP.2013";"Réalisation.2012";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Indicateur de mission";"";"3172";"1. Encadrement UE";"";"";"SSI Documenté";"%";"11,1";"11";"10";"10";"11";"2013";"11,5";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Indicateur de mission";"";"3174";"2. Usage du français à l'Union européenne";"";"";"SSI Documenté";"%";"10,5";"10";"10";"10";"10";"2013";"10";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11193";"P105.2.1";"Evaluation de la politique de coopération, de sécurité et de défense";"Citoyen";"";"";"17875";"Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD)";"";"";"SSI Documenté";"%";"50";"41";"51";"42";"43,9";"2013";"52";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"19777";"1. Pourcentage de mises à jour des fiches ""conseils aux voyageurs"" par bimestre";"(nouveau)";"";"SSI Documenté";"%";"-";"80";"80";"80";"98.49";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13749";"2. Nombre de consultations du site ""Conseils aux voyageurs""";"";"";"SSI Documenté";"Nombre";"5129616";"6681572";"4500000";"6900000";"5203241";"2013";"4500000";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13750";"3. Proportion de postes diplomatiques et consulaires dotés d'un plan de sécurité actualisé";"";"";"SSI Documenté";"%";"47";"58";"100";"75";"79.26";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"4";"1. Taux d'""élections"" remportées par la France ou des Français";"";"";"SSI Documenté";"%";"100";"82";"100";"64";"53";"2013";"100";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"3171";"2. Encadrement ONU";"";"";"SSI Documenté";"%";"5,9";"5,9";"5,9";"6";"4.9";"2013";"5,9";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"3173";"3. Usage du français à l'ONU";"";"";"SSI Documenté";"%";"14";"15";"15";"14";"17";"2013";"15";"MIN01";"Affaires étrangères et européennes"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"19929";"4. Présence d'experts français dans les organisations internationales";"(nouveau)";"";"SSI Documenté";"%";"15";"11,5";"12";"12";"12";"2013";"12";"MIN01";"Affaires étrangères et européennes"
