"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2012";"Réalisation.2013";"Prévision.2014.PAP.2014";"Prévision.2014.PAP.2015";"Réalisation.2014";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"";"3172";"1. Encadrement UE";"";"";"SSI Documenté";"%";"11";"11";"11";"11";"11";"2015";"11";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"";"3174";"2. Usage du français à l'Union européenne";"";"";"SSI Documenté";"%";"10";"10";"10";"10";"10";"2015";"10";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11193";"P105.2.1";"Evaluation de la politique de coopération, de sécurité et de défense";"Citoyen";"";"";"17875";"Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD)";"";"";"SSI Documenté";"%";"43,9";"44,5*";"43,5";"43,5";"42.5";"2015";"44,3";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"19777";"1. Pourcentage de relecture des fiches ""conseils aux voyageurs"" par bimestre";"";"";"SSI Documenté";"%";"98,49";"98,31";"80";"80";"97";"2015";"80";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13749";"2. Nombre de consultations du site ""Conseils aux voyageurs""";"";"";"SSI Documenté";"Nombre";"5203241";"6649179";"7200000";"7200000";"8371722";"2015";"7500000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13750";"3. Proportion de postes diplomatiques et consulaires dotés d'un plan de sécurité actualisé";"";"";"SSI Documenté";"%";"79,26";"100";"100";"s.o.";"100";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"13203";"P105.3.1";"Optimiser l'effort français en faveur du maintien de la paix";"Citoyen";"";"";"21046";"Evolution des mandats des opérations de maintien de la paix (OMP)";"";"";"SSI Documenté";"%";"14";"20";"29";"29";"31";"2015";"35";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11731";"P105.3.2";"Evaluation du poids politique de la France et des français dans les organisations internationales";"Citoyen";"";"";"15713";"Taux de résolutions adoptées au conseil de sécurité de l'ONU à l'initiative de la France.";"";"";"SSI Documenté";"%";"21";"23";"17";"s.o.";"16";"2015";"17";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11731";"P105.3.2";"Evaluation du poids politique de la France et des français dans les organisations internationales";"Citoyen";"";"";"4";"Taux d'élections remportées par la France ou des Français";"";"";"SSI Documenté";"%";"53";"100";"100";"s.o.";"81";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.4";"Assurer un service diplomatique efficient et de qualité";"12247";"P105.4.1";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"Citoyen";"";"X";"17917";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"";"";"SSI Documenté";"%";"4,19";"4,31";"5";"4,49";"4,21";"2015";"6";"MIN01";"Affaires étrangères"
