"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Numéro.Objectif";"Objectif";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Sous.indicateur";"Unité";"Réalisation.2014";"Réalisation.2015";"Prévision.2016.PAP.2016";"Prévision.2016.PAP.2017";"Réalisation.2016";"Année.cible";"Valeur.cible";"Code.Ministère.LFI.2016";"Ministère.LFI.2016"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"MAA.2 (P105.1)";"Construire l'Europe";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"1. Encadrement UE";"%";"11";"9,9";"11";"S.O.";"11";"2017";"11";"";""
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"MAA.2 (P105.1)";"Construire l'Europe";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"2. Usage du français à l'Union européenne";"%";"10";"5";"10";"S.O.";"9";"2017";"10";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"MAA.3 (P151.1)";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"1. Passeports (réseau)";"Jour";"11,5";"11,5";"11";"11,5";"11,5";"2017";"10";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"MAA.3 (P151.1)";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"2. Cartes nationales d'identité (réseau)";"Jour";"42";"42";"42";"42";"42";"2017";"42**";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"MAA.3 (P151.1)";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"3. État Civil - transcription des actes (réseau)";"Jour";"27";"24,5";"25";"25";"28,7";"2017";"20**";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"MAA.3 (P151.1)";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"Jour";"3,5";"4";"2";"3";"3,4";"2017";"1,5**";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"MAA.3 (P151.1)";"Assurer un service consulaire de qualité";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"5. Visas court séjour";"Jour";"3";"3,8";"2,5";"3";"4,2";"2017";"2,5**";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"MAA.1 (P185.2)";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"1. Nombre de décisions d'investissement en France";"Nombre";"1014";"962";"1400";"1400";"1117";"2017";"1500";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"MAA.1 (P185.2)";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"2. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"%";"48,1";"48,1";"51,5";"48,2";"42,9";"2017";"52";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"MAA.1 (P185.2)";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"3. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"Nombre";"128573";"130700";"133000";"133000";"ND";"2017";"135000";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"MAA.1 (P185.2)";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"4. Nombre de touristes étrangers en France";"Nombre";"83,8";"84,5";"88";"86,2 **";"83";"2017";"90,2";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"MAA.1 (P185.2)";"Renforcer le développement international";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"5. Montant des recettes touristiques liées aux séjours des touristes étrangers en France";"Milliards d'euros";"43,8";"41,4";"44,9";"ND **";"ND";"2017";"39,5";"";""
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.1";"Construire l'Europe";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"";"1. Encadrement UE";"%";"11";"9,9";"11";"S.O.";"11";"2017";"11";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.1";"Construire l'Europe";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"";"2. Usage du français à l'Union européenne";"%";"10";"5";"10";"S.O.";"9";"2017";"10";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"P105.2.1";"Evaluation de la politique de coopération, de sécurité et de défense";"Citoyen";"";"Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD)";"%";"42,5";"42,2";"42,9";"43,1";"43";"2017";"43,8";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"1. Pourcentage de relecture des fiches ""Conseils aux voyageurs"" par bimestre";"%";"97";"97";"85";"85";"100";"2017";"90";"MIN01";"Affaires étrangères et développement international"
