"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2015";"Réalisation.2016";"Prévision.2017.PAP.2017";"Prévision.2017.PAP.2018";"Réalisation.2017";"Année.cible";"Valeur.cible";"Degré.de.réalisation";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"MAA.2 (P151.1)";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3211";"1. Passeports (réseau)";"";"";"SSI Documenté";"Jour";"11,5";"11,5";"10";"11";"11,7";"2017";"10";"Absence d'amélioration";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"MAA.2 (P151.1)";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3212";"2. Cartes nationales d'identité (réseau)";"";"";"SSI Documenté";"Jour";"42";"42";"42";"42";"36";"2017";"42**";"Cible atteinte";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"MAA.2 (P151.1)";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"3213";"3. État Civil - transcription des actes (réseau)";"";"";"SSI Documenté";"Jour";"24,5";"28,7";"20";"25";"26";"2017";"20**";"Amélioration";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"MAA.2 (P151.1)";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13389";"4. État Civil - exploitation des actes (SCEC) Demandes dématérialisées";"";"";"SSI Documenté";"Jour";"4";"3,4";"1,5";"3,5";"5,2";"2017";"1,5**";"Absence d'amélioration";"";""
"Budget général";"Action extérieure de l'État";"P151";"Français à l'étranger et affaires consulaires";"30";"MAA.2 (P151.1)";"Assurer un service consulaire de qualité";"2484";"P151.1.1";"Délais de traitement des documents administratifs et des demandes de titres";"Usager";"Stratégique mission";"";"13390";"5. Visas court séjour";"";"";"SSI Documenté";"Jour";"3,8";"4,2";"2,5";"2,9";"4,3";"2017";"2,5**";"Absence d'amélioration";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"MAA.1 (P185.2)";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"";"24181";"1. Nombre de décisions d'investissement en France";"";"";"SSI Documenté";"Nombre";"962";"1117";"1500";"1151";"1298";"2017";"1500";"Cible atteinte";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"MAA.1 (P185.2)";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"";"15716";"2. Pourcentage de bacheliers étrangers issus de l'enseignement français à l'étranger poursuivant leurs études supérieures en France ou dans le cadre de notre coopération universitaire";"";"";"SSI Documenté";"%";"48,1";"42,9";"48,5";"45";"45";"2017";"52";"Cible atteinte";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"MAA.1 (P185.2)";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"";"13150";"3. Nombre d'étudiants étrangers inscrits en Master et Doctorat de l'enseignement supérieur français";"";"";"SSI Documenté";"Nombre";"130700";"130667";"135000";"135000";"ND";"2017";"135000";"Données non renseignées";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"MAA.1 (P185.2)";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"";"23130";"4. Nombre de touristes étrangers en France";"";"";"SSI Documenté";"Nombre";"84,5";"82,5";"87,9";"88";"88,5";"2017";"90,2";"Cible atteinte";"";""
"Budget général";"Action extérieure de l'État";"P185";"Diplomatie culturelle et d'influence";"12112";"MAA.1 (P185.2)";"Renforcer le développement international";"14046";"P185.2.2";"Promotion de l'attractivité de la France";"Citoyen";"Stratégique mission";"";"23131";"5. Montant des recettes touristiques liées aux séjours des touristes étrangers en France";"";"";"SSI Documenté";"Milliards d'euros";"41,4";"41";"N.D **";"43";"54";"2017";"39,5";"Cible atteinte";"";""
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.1";"Renforcer la sécurité internationale et la sécurité des Français";"11193";"P105.1.1";"Evaluation de la politique de coopération, de sécurité et de défense";"Citoyen";"";"";"17875";"Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD)";"";"";"SSI Documenté";"%";"43,9";"43";"44,2";"40,5";"40";"2017";"43,8";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.1";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.1.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"19777";"1. Pourcentage de relecture des fiches ""conseils aux voyageurs"" par bimestre";"";"";"SSI Documenté";"%";"97";"100";"90";"90";"99,9";"2017";"90";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.1";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.1.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13749";"2. Nombre de consultations du site ""Conseils aux voyageurs""";"";"";"SSI Documenté";"Nombre";"8169599";"7150000";"8150000";"8000000";"7300000";"2017";"7750000";"Amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.2";"Promouvoir le multilatéralisme et construire l'Europe";"13203";"P105.2.1";"Optimiser l'effort français en faveur du maintien de la paix";"Citoyen";"";"";"21046";"Evolution des mandats des opérations de maintien de la paix (OMP)";"";"";"SSI Documenté";"%";"27";"25";"20";"25";"67";"2017";"25";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12247";"P105.3.1";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"Citoyen";"";"X";"17917";"Part des bénéficiaires de l'obligation d'emploi prévue par la loi n° 87-517 du 10 juillet 1987";"";"";"SSI Documenté";"%";"4,24";"4,16";"4,42";"4,37";"4,4";"2017";"6";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.3.2";"Efficience de la fonction support";"Contribuable";"";"X";"12993";"1. Ratio d'efficience de la gestion des ressources humaines";"";"";"SSI Documenté";"%";"2,3";"2,28";"2,29";"2,27";"2,26";"2017";"2,27";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.3.2";"Efficience de la fonction support";"Contribuable";"";"X";"17876";"#NOM?";"";"";"SSI Documenté";"Effectifs physiques";"13934";"13781";"13736";"13611";"13694";"2017";"13689";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.3.2";"Efficience de la fonction support";"Contribuable";"";"X";"13275";"2. Ratio d'efficience bureautique";"";"";"SSI Documenté";"€/poste";"1064";"1572";"1498*";"1434";"1514";"2017";"1484*";"Amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"10324";"P105.3.2";"Efficience de la fonction support";"Contribuable";"";"X";"17877";"#NOM?";"";"";"SSI Documenté";"Nombre de postes";"15440";"15350";"15370";"15370";"15229";"2017";"15157";"Amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"12";"P105.3";"Assurer un service diplomatique efficient et de qualité";"12248";"P105.3.3";"Efficience de la gestion immobilière";"Contribuable";"";"X";"17893";"1. Ratio SUN / Poste de Travail";"";"";"SSI Documenté";"m²/poste";"11,6";"14,7";"14,7";"15,3";"14,8";"2017";"13,6";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
